OSEBuildingID,BuildingType,Neighborhood,BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),PrimaryProperty,LargestPropertyUseTypeGFA,SecondLargest,SecondLargestPropertyUseTypeGFA,ThirdLargest,ThirdLargestPropertyUseTypeGFA,NumberPropertyUseType,harvesine_distance,ENERGYSTARScore,SiteEnergyUse(kBtu)
19836,NONRESIDENTIAL,DOWNTOWN,88,1.0,3,0,21600,EDUCATION,21600.0,UNDEFINED,,UNDEFINED,,1,0.8246343365302718,,323739.4063
19845,NONRESIDENTIAL,NORTHEAST,20,1.0,1,0,25735,RETAIL AND PERSONAL SERVICES,25691.0,UNDEFINED,,UNDEFINED,,1,4.311026635011768,82.0,1169394.875
19847,NONRESIDENTIAL,NORTHEAST,60,1.0,2,0,25862,RETAIL AND PERSONAL SERVICES,25562.0,OTHER SERVICES AND FACILITIES,300.0,UNDEFINED,,2,4.1789710822219055,20.0,4801472.0
19848,NONRESIDENTIAL,NORTHEAST,13,1.0,2,0,49965,RETAIL AND PERSONAL SERVICES,47465.0,OTHER SERVICES AND FACILITIES,2500.0,UNDEFINED,,2,4.1789710822219055,82.0,3377209.75
19853,NONRESIDENTIAL,DOWNTOWN,87,1.0,2,0,20028,OFFICE AND BUSINESS,20028.0,UNDEFINED,,UNDEFINED,,1,0.2487737214651793,95.0,511797.4063
19855,NONRESIDENTIAL,DOWNTOWN,116,1.0,7,0,23622,OFFICE AND BUSINESS,26195.0,FOOD AND BEVERAGE,2285.0,UNDEFINED,,2,0.26835396690941155,100.0,552007.5
19856,NONRESIDENTIAL,DOWNTOWN,114,1.0,3,0,23563,OFFICE AND BUSINESS,20183.0,FOOD AND BEVERAGE,3380.0,UNDEFINED,,2,0.274111271728251,67.0,883197.6875
19857,NONRESIDENTIAL,DOWNTOWN,113,1.0,3,0,28600,MIXED USE,12000.0,RETAIL AND PERSONAL SERVICES,11000.0,FOOD AND BEVERAGE,3000.0,3,0.24946143167790824,,1062722.625
19858,NONRESIDENTIAL,DOWNTOWN,38,1.0,2,12379,26160,MIXED USE,15549.0,PARKING,12379.0,OFFICE AND BUSINESS,10611.0,3,0.15618710917817882,55.0,2186018.5
19860,NONRESIDENTIAL,DOWNTOWN,110,1.0,5,0,26840,OFFICE AND BUSINESS,29040.0,UNDEFINED,,UNDEFINED,,1,0.15618710917817882,24.0,1989287.0
19861,NONRESIDENTIAL,DOWNTOWN,110,1.0,2,0,46800,RETAIL AND PERSONAL SERVICES,36019.0,OFFICE AND BUSINESS,10781.0,UNDEFINED,,2,0.15618710917817882,86.0,1245187.5
19862,NONRESIDENTIAL,DOWNTOWN,37,1.0,3,26640,37350,OFFICE AND BUSINESS,39000.0,PARKING,26640.0,UNDEFINED,,2,0.14288192579006506,51.0,2067352.5
19864,NONRESIDENTIAL,DOWNTOWN,108,1.0,3,0,28800,OFFICE AND BUSINESS,21600.0,OTHER SERVICES AND FACILITIES,7200.0,STORAGE,6200.0,3,0.8777152599684368,50.0,1345025.75
19871,NONRESIDENTIAL,DOWNTOWN,62,1.0,3,4968,28584,OFFICE AND BUSINESS,26556.0,PARKING,4968.0,UNDEFINED,,2,1.1202006493248005,75.0,1696978.75
19873,NONRESIDENTIAL,DOWNTOWN,85,1.0,2,0,26270,RETAIL AND PERSONAL SERVICES,26270.0,UNDEFINED,,UNDEFINED,,1,1.0456147348112488,32.0,1560461.75
19874,NONRESIDENTIAL,DOWNTOWN,90,1.0,3,7820,49800,OFFICE AND BUSINESS,49800.0,PARKING,7820.0,UNDEFINED,,2,0.9854163244100115,50.0,2385395.0
19876,NONRESIDENTIAL,DOWNTOWN,62,1.0,2,6080,22616,MIXED USE,12960.0,OFFICE AND BUSINESS,7760.0,PARKING,6080.0,3,0.9252268190557721,,418348.5
